names,scores,logfoldchanges,pvals,pvals_adj,group
LOC641298,7.72804,50.275883,1.0921498434104742e-14,2.4269872313495196e-13,deeper
RUNX2,7.688355,71.34816,1.4903909242142604e-14,3.288402170286159e-13,deeper
C12ORF75,7.682445,51.940086,1.5608077957505664e-14,3.44027391406503e-13,deeper
SPDYE7P,7.634798,25.867117,2.261748415219294e-14,4.925257757555275e-13,deeper
MAT2A,7.540515,197.15245,4.6812003421507835e-14,1.005277355375229e-12,deeper
EEF1G,7.4933887,,6.711789283006216e-14,1.4286240894445879e-12,deeper
RPL36,7.4688606,inf,8.089211624129384e-14,1.7034420327009996e-12,deeper
FILIP1L,7.460746,54.031532,8.603394215280498e-14,1.8064631702896991e-12,deeper
TMSB10,7.4605927,,8.613398230600152e-14,1.8068163186913999e-12,deeper
RPL24,7.4403214,inf,1.0044049678489024e-13,2.0907609067082954e-12,deeper
GNAS,7.407434,162.94653,1.287663264699503e-13,2.652415288414697e-12,deeper
PTPRS,7.3875,33.516975,1.496154783175183e-13,3.0644355186336222e-12,deeper
SNHG1,7.3864584,119.89871,1.5079110993249905e-13,3.0848280188218833e-12,deeper
RPS27,7.3839784,,1.5362857310473116e-13,3.137751599884119e-12,deeper
TSEN54,7.3449664,60.23351,2.05810492655955e-13,4.160476355729459e-12,deeper
CREM,7.34463,145.71045,2.0632943541689973e-13,4.167086857987265e-12,deeper
ITGB7,7.339914,97.49763,2.1373103488047797e-13,4.304558903794116e-12,deeper
IL7R,7.334586,68.518074,2.224080004751584e-13,4.471018609552004e-12,deeper
KCNK17,7.318479,65.104294,2.5079706657982394e-13,5.013862902867917e-12,deeper
TRIB2,7.315754,60.791443,2.5594054186890534e-13,5.107284103415261e-12,deeper
AQP3,7.287919,76.34272,3.147791958182731e-13,6.224199563215417e-12,deeper
LOC100505678,7.2870617,18.213776,3.167881651951608e-13,6.258223707508768e-12,deeper
CD1E,7.261278,228.86069,3.8344889889876574e-13,7.513591194937818e-12,deeper
IGLL1,7.2279315,494.0271,4.904052955215607e-13,9.557620620348835e-12,deeper
PKIB,7.222726,74.73141,5.095560204684249e-13,9.913056236908579e-12,deeper
CBX5,7.2066193,34.301983,5.735811317972686e-13,1.11088491993314e-11,deeper
TXLNG2P,7.1917987,35.95034,6.394337443466228e-13,1.2373213924696547e-11,deeper
LOC440354,7.160105,87.96316,8.061509773609166e-13,1.554382226419437e-11,deeper
NUMA1,7.1106825,48.179058,1.1547056729065171e-12,2.1971792168688338e-11,deeper
EZR,7.099414,315.1833,1.2528720238883404e-12,2.377718925755224e-11,deeper
HMGA1,7.0821433,65.66169,1.4194176816235087e-12,2.6797371552806954e-11,deeper
MRC1,7.0773053,68.630424,1.4698467849793426e-12,2.7653243976331462e-11,deeper
ACTN4,7.0151744,48.120327,2.2966240473953442e-12,4.232767800764034e-11,deeper
UBA52,7.009693,60.244034,2.388414259589475e-12,4.390758847582311e-11,deeper
RPS11,7.0038443,,2.4903263531307416e-12,4.5626561563562475e-11,deeper
ACY3,6.9870334,616.492,2.807596421971271e-12,5.1180290442836496e-11,deeper
FMNL3,6.984063,18.71207,2.8676333583515223e-12,5.218708117616924e-11,deeper
PTPN7,6.9797454,70.86921,2.9571546699553846e-12,5.368125839414829e-11,deeper
LDHB,6.9364467,259.83566,4.020846469971879e-12,7.220562258855207e-11,deeper
RUNDC2C,6.9268622,56.652172,4.302770874584492e-12,7.707711093902963e-11,deeper
MOB3B,6.922973,29.829487,4.422609516487782e-12,7.90933074237778e-11,deeper
MCM2,6.9114904,45.779095,4.795881772340092e-12,8.555742741107292e-11,deeper
ATP2B4,6.8894734,32.76832,5.599922544334164e-12,9.965567078691725e-11,deeper
ZNF460,6.8664465,49.552998,6.582093780691901e-12,1.1637120364218393e-10,deeper
RPLP1,6.861241,,6.826504423675094e-12,1.205941721256387e-10,deeper
SATB1,6.8590665,87.5422,6.931194899316784e-12,1.221454321908009e-10,deeper
SLC35E2,6.8334975,68.95683,8.286883003498956e-12,1.4509396523303696e-10,deeper
APEX1,6.797364,164.96584,1.065503071635272e-11,1.847694663600111e-10,deeper
RPL10A,6.797211,,1.066635613244163e-11,1.8481824261088606e-10,deeper
PDXDC2P,6.791761,51.349655,1.10773145401559e-11,1.916331282719719e-10,deeper
SLC17A9,6.7646303,35.429764,1.3365011425774482e-11,2.2920044475907565e-10,deeper
PCDHGC5,6.757312,41.08763,1.4057555673583395e-11,2.401287106445075e-10,deeper
AFF3,6.7513404,52.918537,1.464853328721251e-11,2.500269702819739e-10,deeper
ESYT1,6.727364,93.784386,1.7276418994634307e-11,2.9189753524708596e-10,deeper
IL2RG,6.7163095,184.41515,1.8638447805994014e-11,3.139327698339302e-10,deeper
MEF2D,6.704643,12.266959,2.018994537392073e-11,3.384895011684888e-10,deeper
FCGBP,6.6972632,59.940136,2.1235898246057704e-11,3.5492885821413306e-10,deeper
EDEM1,6.6666417,33.76284,2.6172282285915432e-11,4.3475625149924253e-10,deeper
RPS3,6.6500144,,2.930643733278068e-11,4.849634610762206e-10,deeper
RPL11,6.6469216,,2.99286284126368e-11,4.941296208872681e-10,deeper
GNA15,6.637031,88.83011,3.200645263327578e-11,5.280335054111325e-10,deeper
PARM1,6.59854,43.106476,4.15226885976394e-11,6.803766733157351e-10,deeper
SNRPA,6.5944977,39.58892,4.2669766939729146e-11,6.975928539370929e-10,deeper
KDM5B,6.585832,23.299316,4.5234515912492354e-11,7.36749118511719e-10,deeper
INF2,6.581729,24.926899,4.650095027243316e-11,7.562412969024692e-10,deeper
RPS14,6.5347557,,6.371353416147348e-11,1.0193695948266402e-09,deeper
CD1C,6.5329795,175.00406,6.447398328398167e-11,1.03001813913063e-09,deeper
HMHA1,6.5226293,128.93034,6.908539360915069e-11,1.1020668483822708e-09,deeper
AKNA,6.522415,49.826664,6.918422692595756e-11,1.102833150359372e-09,deeper
RPS2,6.514668,inf,7.285066009755439e-11,1.1595752796026418e-09,deeper
RPL27A,6.504226,49.468227,7.809441762206477e-11,1.2412210109755846e-09,deeper
UHRF1,6.4864964,63.26123,8.785548334655689e-11,1.3912694375908802e-09,deeper
TCRBV3S1,6.4695625,140.68332,9.828700900921264e-11,1.5508061428771915e-09,deeper
IGJ,6.452935,,1.0970428559752965e-10,1.7197037867205534e-09,deeper
LMNA,6.412423,304.2036,1.4322467520748772e-10,2.214779859992711e-09,deeper
CREBZF,6.405901,16.372055,1.4948418931932492e-10,2.3082867953853934e-09,deeper
LTB,6.405503,237.91405,1.498747625018169e-10,2.312673040992855e-09,deeper
